date,close_amd,close_nvda,close_mu,S&P 500
5/4/2017,10.1,103.85,27.79,2389.52
5/5/2017,10.19,103.86,28.2,2399.29
5/8/2017,10.04,102.77,28.06,2399.38
5/9/2017,10.18,102.94,28.81,2396.92
5/10/2017,10.79,121.29,29.32,2399.63
5/11/2017,11.07,126.5,29.03,2394.44
5/12/2017,11.26,127.89,28.93,2390.9
5/15/2017,11.42,134.31,28.83,2402.32
5/16/2017,12.75,136.81,29.02,2400.67
5/17/2017,11.2,127.72,27,2357.03
5/18/2017,11.275,133.07,27.48,2365.72
5/19/2017,11.41,136,27.82,2381.73
5/22/2017,11.04,138.9,28.06,2394.02
5/23/2017,10.89,137.03,28.29,2398.42
5/24/2017,10.89,138.57,28.99,2404.39
5/25/2017,10.98,138.26,29.43,2415.07
5/26/2017,11,141.84,29.76,2415.82
5/30/2017,11.12,144.87,30.7,2412.91
5/31/2017,11.19,144.35,30.77,2411.8
6/1/2017,10.93,144.36,30.76,2430.06
6/2/2017,10.9,143.64,31.21,2439.07
6/5/2017,11.24,148.01,31.21,2436.1
6/6/2017,12.03,147.34,31.57,2429.33
6/7/2017,12.38,149.12,32.5,2433.14
6/8/2017,12.9,159.94,32.45,2433.79
6/9/2017,12.28,149.6,30.6,2431.77
6/12/2017,12.09,149.97,31.2,2429.39
6/13/2017,11.96,151.4,31.54,2440.35
6/14/2017,11.77,151.72,31.06,2437.92
6/15/2017,11.5,152.37,30.56,2432.46
6/16/2017,11.44,151.62,29.86,2433.15
6/19/2017,11.93,157.32,31.2,2453.46
6/20/2017,12.64,157.09,30.83,2437.03
6/21/2017,13.98,159.47,32.01,2435.61
6/22/2017,14.38,158.37,31.89,2434.5
6/23/2017,14.17,153.83,31.73,2438.3
6/26/2017,14.08,152.15,32.5,2439.07
6/27/2017,13.4,146.58,31.66,2419.38
6/28/2017,13.23,151.75,32.24,2440.69
6/29/2017,12.6,146.68,31.47,2419.7
6/30/2017,12.48,144.56,29.86,2423.41
7/3/2017,12.15,139.33,29.14,2429.01
7/5/2017,13.19,143.05,30.51,2432.54
7/6/2017,13.02,143.48,30.1,2409.75
7/7/2017,13.36,146.76,30.2,2425.18
7/10/2017,13.81,153.7,30.5,2427.43
7/11/2017,13.89,155.88,31.37,2425.53
7/12/2017,14.29,162.51,31.45,2443.25
7/13/2017,13.53,160.63,31.13,2447.83
7/14/2017,13.92,164.95,31.79,2459.27
7/17/2017,13.8,164.25,31.72,2459.14
7/18/2017,13.48,165.96,31.9,2460.61
7/19/2017,13.55,165.1,31.82,2473.83
7/20/2017,13.8,167.5,32,2473.45
7/21/2017,13.88,168.1,32.01,2472.54
7/24/2017,14.16,166.15,31.67,2469.91
7/25/2017,14.11,165.35,29.9,2477.13
7/26/2017,14.76,167.26,29.81,2477.83
7/27/2017,14.12,161.74,30.24,2475.42
7/28/2017,13.95,164.39,29.28,2472.1
7/31/2017,13.61,162.51,28.12,2470.3
8/1/2017,13.71,164.49,28.34,2476.35
8/2/2017,13.37,164.39,28.63,2477.57
8/3/2017,13.24,166.48,27.83,2472.16
8/4/2017,13.12,167.21,27.92,2476.83
8/7/2017,13.43,172.35,28.59,2480.91
8/8/2017,13.11,170.3,28.84,2474.92
8/9/2017,12.83,172.11,28.58,2474.02
8/10/2017,12.12,164.74,27.49,2438.21
8/11/2017,12.23,155.96,28.01,2441.32
8/14/2017,12.76,168.4,29.24,2465.84
8/15/2017,13.02,166.98,29.68,2464.61
8/16/2017,12.63,165.15,30.69,2468.11
8/17/2017,12.34,161.47,29.62,2430.01
8/18/2017,12.37,161.5,30.38,2425.55
8/21/2017,12.05,159.15,29.56,2428.37
8/22/2017,12.17,162.55,30.45,2452.51
8/23/2017,12.48,165.8,30.45,2444.04
8/24/2017,12.5,165.19,30.22,2438.97
8/25/2017,12.43,163.81,30.29,2443.05
8/28/2017,12.23,164.97,31.08,2444.24
8/29/2017,12.15,164.7,31.48,2446.3
8/30/2017,12.67,165.68,31.61,2457.59
8/31/2017,13,169.44,31.97,2471.65
9/1/2017,13.19,170.46,32.6,2476.55
9/5/2017,12.92,165.91,32.07,2457.85
9/6/2017,12.86,165.81,32.25,2465.54
9/7/2017,12.63,166.58,32.79,2465.1
9/8/2017,12.25,163.69,32.45,2461.43
9/11/2017,12.55,169,33.44,2488.11
9/12/2017,12.3,169.61,34.29,2496.48
9/13/2017,12.22,170.37,34.59,2498.37
9/14/2017,12.26,169.4,34.58,2495.62
