date,close_btc,close_xrp,close_eth,close_ltc,close_eos,close_dash
5/9/2017,1697.5,0.1564,86.27,31.77,0,86.73
5/10/2017,1752.31,0.187,87.83,31.28,0,87.65
5/11/2017,1819.29,0.1837,88.2,29.88,0,88.63
5/12/2017,1686.39,0.2069,85.15,26.76,0,85.23
5/13/2017,1763.74,0.2102,87.96,28.14,0,86.99
5/14/2017,1772.55,0.2171,88.72,28.07,0,87.28
5/15/2017,1708.92,0.2631,90.32,24.5,0,88.75
5/16/2017,1729.34,0.325,87.8,22.83,0,83.32
5/17/2017,1801.3,0.375,86.98,25.06,0,81.85
5/18/2017,1880.99,0.3575,95.88,27.88,0,87.19
5/19/2017,1962,0.3224,124.38,27.27,0,96.14
5/20/2017,2040.18,0.3449,123.06,27.42,0,97.39
5/21/2017,2044.19,0.324,148,26.02,0,99.85
5/22/2017,2124.41,0.2988,160.39,24.79,0,119.34
5/23/2017,2272.58,0.3229,169.5,31.36,0,131.8
5/24/2017,2445.28,0.29,193.03,34.8,0,142.5
5/25/2017,2307.22,0.24,177.33,28.32,0,115.71
5/26/2017,2244.89,0.276,162.83,24.45,0,108.95
5/27/2017,2052.43,0.21,156.63,22.83,0,96.58
5/28/2017,2189.02,0.2281,172.86,23.89,0,104.97
5/29/2017,2278.21,0.2324,194.17,25.33,0,114.1
5/30/2017,2192.55,0.2042,228.58,23.89,0,119.19
5/31/2017,2303.34,0.2475,228.64,25.91,0,132.69
6/1/2017,2412.65,0.3364,220.7,27.55,0,133.53
6/2/2017,2492.6,0.2959,222.04,28.27,0,142.91
6/3/2017,2545.43,0.2921,224.3,27.27,0,140.9
6/4/2017,2524.06,0.2941,244.96,27.89,0,141.66
6/5/2017,2704.96,0.2888,247.75,30.78,0,143.89
6/6/2017,2870.5,0.284,264.26,30.07,0,140.87
6/7/2017,2691.51,0.2762,255.77,28.47,0,138.41
6/8/2017,2798.78,0.2869,259.41,29.9,0,141.22
6/9/2017,2811.43,0.2814,279.11,29.54,0,144.86
6/10/2017,2900.25,0.2598,335.95,30.06,0,148.47
6/11/2017,2973.45,0.2701,339.68,33.63,0,181.73
6/12/2017,2656.77,0.2467,394.66,28.98,0,167.8
6/13/2017,2712.99,0.2626,388.09,30.38,0,180.21
6/14/2017,2467.27,0.2623,343.84,29.19,0,163.26
6/15/2017,2442.46,0.245,344.68,29.29,0,161.08
