date ,S&P 500
11/28/2017,2627.04
11/29/2017,2626.07
11/30/2017,2647.58
12/1/2017,2642.22
12/4/2017,2639.44
12/5/2017,2629.57
12/6/2017,2629.27
12/7/2017,2636.98
12/8/2017,2651.5
12/11/2017,2659.99
12/12/2017,2664.11
12/13/2017,2662.85
12/14/2017,2652.01
12/15/2017,2675.81
12/18/2017,2690.16
12/19/2017,2681.47
12/20/2017,2679.25
12/21/2017,2684.57
12/22/2017,2683.34
12/26/2017,2680.5
12/27/2017,2682.62
12/28/2017,2687.54
12/29/2017,2673.61
1/2/2018,2695.81
1/3/2018,2713.06
1/4/2018,2723.99
1/5/2018,2743.15
1/8/2018,2747.71
1/9/2018,2751.29
1/10/2018,2748.23
1/11/2018,2767.56
1/12/2018,2786.24
1/16/2018,2776.42
1/17/2018,2802.56
1/18/2018,2798.03
1/19/2018,2810.3
1/22/2018,2832.97
1/23/2018,2839.13
1/24/2018,2837.54
1/25/2018,2839.25
1/26/2018,2872.87
1/29/2018,2853.53
1/30/2018,2822.43
1/31/2018,2823.81
2/1/2018,2821.98
2/2/2018,2762.13
2/5/2018,2648.94
2/6/2018,2695.14
2/7/2018,2681.66
2/8/2018,2581
2/9/2018,2619.55
2/12/2018,2656
2/13/2018,2662.94
2/14/2018,2698.63
2/15/2018,2731.2
2/16/2018,2732.22
2/20/2018,2716.26
2/21/2018,2701.33
2/22/2018,2703.96
2/23/2018,2747.3
2/26/2018,2779.6
2/27/2018,2744.28
2/28/2018,2713.83
3/1/2018,2677.67
3/2/2018,2691.25
3/5/2018,2720.94
3/6/2018,2728.12
3/7/2018,2726.8
3/8/2018,2738.97
3/9/2018,2786.57
3/12/2018,2783.02
3/13/2018,2765.31
3/14/2018,2749.48
3/15/2018,2747.33
3/16/2018,2752.01
3/19/2018,2712.92
3/20/2018,2716.94
3/21/2018,2711.93
3/22/2018,2643.69
3/23/2018,2588.26
3/26/2018,2658.55
3/27/2018,2612.62
3/28/2018,2605
3/29/2018,2640.87
4/2/2018,2581.88
4/3/2018,2614.45
4/4/2018,2644.69
4/5/2018,2662.84
4/6/2018,2604.47
4/9/2018,2613.16
4/10/2018,2656.87
4/11/2018,2642.19
4/12/2018,2663.99
4/13/2018,2656.3
4/16/2018,2677.84
4/17/2018,2706.39
4/18/2018,2708.64
4/19/2018,2693.13
4/20/2018,2670.14
4/23/2018,2670.29
4/24/2018,2634.56
4/25/2018,2639.4
4/26/2018,2666.94
4/27/2018,2669.91
4/30/2018,2648.05
5/1/2018,2654.8
5/2/2018,2635.67
5/3/2018,2629.73
5/4/2018,2663.42
5/7/2018,2672.63
5/8/2018,2671.92
5/9/2018,2697.79
5/10/2018,2723.07
5/11/2018,2727.72
5/14/2018,2730.13
5/15/2018,2711.45
5/16/2018,2722.46
5/17/2018,2720.13
5/18/2018,2712.97
5/21/2018,2733.01
5/22/2018,2724.44
5/23/2018,2733.29
5/24/2018,2727.76
5/25/2018,2721.33
5/29/2018,2689.86
5/30/2018,2724.01
5/31/2018,2705.27
6/1/2018,2734.62
6/4/2018,2746.87
6/5/2018,2748.8
6/6/2018,2772.35
6/7/2018,2770.37
6/8/2018,2779.03
6/11/2018,2782
6/12/2018,2786.85
6/13/2018,2775.63
6/14/2018,2782.49
6/15/2018,2779.66
6/18/2018,2773.75
6/19/2018,2762.59
6/20/2018,2767.32
6/21/2018,2749.76
6/22/2018,2754.88
6/25/2018,2717.07
6/26/2018,2723.06
6/27/2018,2699.63
6/28/2018,2716.31
6/29/2018,2718.37
7/2/2018,2726.71
7/3/2018,2713.22
7/5/2018,2736.61
7/6/2018,2759.82
7/9/2018,2784.17
7/10/2018,2793.84
7/11/2018,2774.02
7/12/2018,2798.29
7/13/2018,2801.31
7/16/2018,2798.43
7/17/2018,2809.55
7/18/2018,2815.62
7/19/2018,2804.49
7/20/2018,2801.83
7/23/2018,2806.98
7/24/2018,2820.4
7/25/2018,2846.07
7/26/2018,2837.44
7/27/2018,2818.82
7/30/2018,2802.6
7/31/2018,2816.29
8/1/2018,2813.36
8/2/2018,2827.22
8/3/2018,2840.35
8/6/2018,2850.4
8/7/2018,2858.45
8/8/2018,2857.7
8/9/2018,2853.58
8/10/2018,2833.28
8/13/2018,2821.93
8/14/2018,2839.96
8/15/2018,2818.37
8/16/2018,2840.69
8/17/2018,2850.13
8/20/2018,2857.05
8/21/2018,2862.96
8/22/2018,2861.82
8/23/2018,2856.98
8/24/2018,2874.69
8/27/2018,2896.74
8/28/2018,2897.52
8/29/2018,2914.04
8/30/2018,2901.13
8/31/2018,2901.52
9/4/2018,2896.72
9/5/2018,2888.6
9/6/2018,2878.05
9/7/2018,2871.68
9/10/2018,2877.13
9/11/2018,2887.89
9/12/2018,2888.92
9/13/2018,2904.18
9/14/2018,2904.98
9/17/2018,2888.8
9/18/2018,2904.31
9/19/2018,2907.95
9/20/2018,2930.75
9/21/2018,2929.67
9/24/2018,2919.37
9/25/2018,2915.56
9/26/2018,2905.97
9/27/2018,2914
9/28/2018,2913.98
10/1/2018,2924.59
10/2/2018,2923.43
10/3/2018,2925.51
10/4/2018,2901.61
10/5/2018,2885.57
10/8/2018,2884.43
10/9/2018,2880.34
10/10/2018,2785.68
10/11/2018,2728.37
10/12/2018,2767.13
10/15/2018,2750.79
10/16/2018,2809.92
10/17/2018,2809.21
10/18/2018,2768.78
10/19/2018,2767.78
10/22/2018,2755.88
10/23/2018,2740.69
10/24/2018,2656.1
10/25/2018,2705.57
10/26/2018,2658.69
10/29/2018,2641.25
10/30/2018,2682.63
10/31/2018,2711.74
11/1/2018,2740.37
11/2/2018,2723.06
11/5/2018,2738.31
11/6/2018,2755.45
11/7/2018,2813.89
11/8/2018,2806.83
11/9/2018,2781.01
11/12/2018,2726.22
11/13/2018,2722.18
11/14/2018,2701.58
11/15/2018,2730.2
11/16/2018,2736.27
11/19/2018,2690.73
11/20/2018,2641.89
11/21/2018,2649.93
11/23/2018,2632.56
11/26/2018,2673.45
11/27/2018,2682.17
11/28/2018,2743.79
11/29/2018,2737.76
11/30/2018,2760.17
12/3/2018,2790.37
12/4/2018,2700.06
