date,close
2016-02-07,3.09
2016-02-08,3.06
2016-02-09,3.08
2016-02-10,3.1
2016-02-11,3.04
2016-02-12,3.09
2016-02-13,3.12
2016-02-14,3.19
2016-02-15,3.14
2016-02-16,3.18
2016-02-17,3.23
2016-02-18,3.23
2016-02-19,3.23
2016-02-20,3.42
2016-02-21,3.41
2016-02-22,3.45
2016-02-23,3.38
2016-02-24,3.35
2016-02-25,3.35
2016-02-26,3.38
2016-02-27,3.38
2016-02-28,3.4
2016-02-29,3.4
2016-03-01,3.41
2016-03-02,3.36
2016-03-03,3.31
2016-03-04,3.23
2016-03-05,3.18
2016-03-06,3.2
2016-03-07,3.24
2016-03-08,3.22
2016-03-09,3.25
2016-03-10,3.27
2016-03-11,3.35
2016-03-12,3.28
2016-03-13,3.28
2016-03-14,3.29
2016-03-15,3.29
2016-03-16,3.29
2016-03-17,3.28
2016-03-18,3.16
2016-03-19,3.17
2016-03-20,3.19
2016-03-21,3.19
2016-03-22,3.22
2016-03-23,3.22
2016-03-24,3.18
2016-03-25,3.21
2016-03-26,3.21
2016-03-27,3.28
2016-03-28,3.25
2016-03-29,3.22
2016-03-30,3.21
2016-03-31,3.23
2016-04-01,3.22
2016-04-02,3.24
2016-04-03,3.25
2016-04-04,3.23
2016-04-05,3.25
2016-04-06,3.24
2016-04-07,3.22
2016-04-08,3.21
2016-04-09,3.21
2016-04-10,3.21
2016-04-11,3.22
2016-04-12,3.25
2016-04-13,3.24
2016-04-14,3.24
2016-04-15,3.27
2016-04-16,3.27
2016-04-17,3.25
2016-04-18,3.24
2016-04-19,3.27
2016-04-20,3.27
2016-04-21,3.33
2016-04-22,3.3
2016-04-23,3.34
2016-04-24,3.57
2016-04-25,3.77
2016-04-26,4.0
2016-04-27,3.96
2016-04-28,3.77
2016-04-29,3.78
2016-04-30,3.65
2016-05-01,3.7
2016-05-02,3.67
2016-05-03,3.73
2016-05-04,3.73
2016-05-05,3.7
2016-05-06,3.78
2016-05-07,3.93
2016-05-08,3.91
2016-05-09,4.03
2016-05-10,3.78
2016-05-11,3.86
2016-05-12,3.84
2016-05-13,3.91
2016-05-14,4.01
2016-05-15,4.05
2016-05-16,4.0
2016-05-17,4.0
2016-05-18,4.0
2016-05-19,3.88
2016-05-20,3.87
2016-05-21,3.95
2016-05-22,3.94
2016-05-23,3.97
2016-05-24,3.94
2016-05-25,4.04
2016-05-26,4.08
2016-05-27,4.48
2016-05-28,4.41
2016-05-29,4.41
2016-05-30,4.54
2016-05-31,4.56
2016-06-01,4.67
2016-06-02,4.67
2016-06-03,4.8
2016-06-04,4.75
2016-06-05,4.79
2016-06-06,4.92
2016-06-07,4.74
2016-06-08,4.74
2016-06-09,4.71
2016-06-10,4.82
2016-06-11,4.91
2016-06-12,5.11
2016-06-13,5.21
2016-06-14,5.15
2016-06-15,5.17
2016-06-16,5.49
2016-06-17,5.44
2016-06-18,5.47
2016-06-19,5.48
2016-06-20,5.22
2016-06-21,4.74
2016-06-22,3.77
2016-06-23,3.78
2016-06-24,4.15
2016-06-25,4.17
2016-06-26,4.0
2016-06-27,4.07
2016-06-28,4.06
2016-06-29,4.03
2016-06-30,4.16
2016-07-01,4.23
2016-07-02,4.56
2016-07-03,4.29
2016-07-04,4.46
2016-07-05,4.36
2016-07-06,4.43
2016-07-07,4.07
2016-07-08,4.18
2016-07-09,4.12
2016-07-10,4.09
2016-07-11,4.07
2016-07-12,4.16
2016-07-13,4.14
2016-07-14,4.13
2016-07-15,4.13
2016-07-16,4.11
2016-07-17,4.14
2016-07-18,4.13
2016-07-19,4.14
2016-07-20,4.11
2016-07-21,4.12
2016-07-22,4.02
2016-07-23,4.04
2016-07-24,4.05
2016-07-25,4.03
2016-07-26,3.95
2016-07-27,3.96
2016-07-28,3.96
2016-07-29,4.05
2016-07-30,4.07
2016-07-31,3.94
2016-08-01,3.88
2016-08-02,3.5
2016-08-03,3.7
2016-08-04,3.72
2016-08-05,3.7
2016-08-06,3.76
2016-08-07,3.76
2016-08-08,3.78
2016-08-09,3.74
2016-08-10,3.75
2016-08-11,3.75
2016-08-12,3.71
2016-08-13,3.71
2016-08-14,3.62
2016-08-15,3.58
2016-08-16,3.63
2016-08-17,3.59
2016-08-18,3.6
2016-08-19,3.6
2016-08-20,3.61
2016-08-21,3.61
2016-08-22,3.66
2016-08-23,3.94
2016-08-24,3.84
2016-08-25,3.79
2016-08-26,3.81
2016-08-27,3.74
2016-08-28,3.73
2016-08-29,3.77
2016-08-30,3.8
2016-08-31,3.79
2016-09-01,3.82
2016-09-02,3.81
2016-09-03,3.9
2016-09-04,4.01
2016-09-05,3.96
2016-09-06,3.95
2016-09-07,3.95
2016-09-08,3.97
2016-09-09,3.96
2016-09-10,3.96
2016-09-11,3.85
2016-09-12,3.81
2016-09-13,3.81
2016-09-14,3.82
2016-09-15,3.8
2016-09-16,3.82
2016-09-17,3.8
2016-09-18,3.83
2016-09-19,3.82
2016-09-20,3.83
2016-09-21,3.77
2016-09-22,3.76
2016-09-23,3.81
2016-09-24,3.8
2016-09-25,3.8
2016-09-26,3.85
2016-09-27,3.84
2016-09-28,3.83
2016-09-29,3.84
2016-09-30,3.83
2016-10-01,3.83
2016-10-02,3.84
2016-10-03,3.83
2016-10-04,3.83
2016-10-05,3.84
2016-10-06,3.82
2016-10-07,3.84
2016-10-08,3.82
2016-10-09,3.81
2016-10-10,3.77
2016-10-11,3.81
2016-10-12,3.8
2016-10-13,3.88
2016-10-14,3.87
2016-10-15,3.86
2016-10-16,3.86
2016-10-17,3.84
2016-10-18,3.82
2016-10-19,3.79
2016-10-20,3.77
2016-10-21,3.8
2016-10-22,3.85
2016-10-23,3.88
2016-10-24,3.84
2016-10-25,3.85
2016-10-26,3.92
2016-10-27,3.98
2016-10-28,3.95
2016-10-29,4.05
2016-10-30,3.96
2016-10-31,3.96
2016-11-01,4.06
2016-11-02,4.08
2016-11-03,3.83
2016-11-04,3.86
2016-11-05,3.86
2016-11-06,3.87
2016-11-07,3.84
2016-11-08,3.82
2016-11-09,3.85
2016-11-10,3.8
2016-11-11,3.8
2016-11-12,3.75
2016-11-13,3.85
2016-11-14,3.86
2016-11-15,3.87
2016-11-16,3.89
2016-11-17,3.88
2016-11-18,3.93
2016-11-19,3.92
2016-11-20,3.88
2016-11-21,3.92
2016-11-22,3.91
2016-11-23,3.9
2016-11-24,3.86
2016-11-25,3.88
2016-11-26,3.85
2016-11-27,3.86
2016-11-28,3.87
2016-11-29,3.84
2016-11-30,3.87
2016-12-01,3.89
2016-12-02,3.9
2016-12-03,3.89
2016-12-04,3.89
2016-12-05,3.49
2016-12-06,3.5
2016-12-07,3.63
2016-12-08,3.67
2016-12-09,3.67
2016-12-10,3.67
2016-12-11,3.63
2016-12-12,3.65
2016-12-13,3.63
2016-12-14,3.61
